konstan;trend;musiman;Gabungan
99.72243915;11.77;53.5;322
98.38825905;11.74;53;317
97.57348026;11.42;53.2;319
97.75672788;11.55;52.5;323
99.12782568;11.55;53.4;327
99.65564177;11.31;56.5;328
100.2101129;10.94;65.3;325
98.79005816;10.78;70.7;326
97.99187508;10.69;66.9;330
97.6808655;10.64;58.2;334
97.93828992;10.55;55.3;337
97.3783452;10.47;53.4;341
96.68436683;10.4;52.1;322
97.62021364;10.21;51.5;318
98.92993995;10.04;51.5;320
99.39247792;9.87;52.4;326
99.38840107;9.84;53.3;332
98.6903049;9.74;55.5;334
99.66475419;9.89;64.2;335
99.67086146;9.84;69.6;336
99.99063106;9.74;69.3;335
101.6607095;9.57;58.5;338
101.1944039;9.45;55.3;342
101.0782021;9.28;53.6;348
100.6499647;9.14;52.3;330
100.9228046;8.87;51.5;326
101.9167191;8.77;51.7;329
100.4204314;8.84;51.5;337
99.93620178;8.99;52.2;345
100.2462824;9.05;57.1;350
99.7486491;9.01;63.6;351
98.91878972;9.01;68.8;354
98.84664159;9.03;68.9;355
99.79701608;8.86;60.1;357
98.4219096;8.92;55.6;362
98.31123727;8.78;53.9;368
98.94889092;;53.3;348
97.93573122;;53.1;345
98.73959415;;53.5;349
97.96389418;;53.5;355
97.74444544;;53.9;362
98.82050264;;57.1;367
99.12835944;;64.7;366
98.81001624;;69.4;370
100.2668366;;70.3;371
98.68674826;;62.6;375
97.75454753;;57.9;380
99.84866754;;55.8;385
100.2077754;;54.8;361
100.1613215;;54.2;354
99.50949325;;54.6;357
100.2946157;;54.3;367
99.32568545;;54.8;376
98.5434974;;58.1;381
97.39017828;;68.1;381
96.81287907;;73.3;383
96.74633273;;75.5;384
96.98677612;;66.4;387
96.62883329;;60.5;392
96.57262925;;57.7;396
96.8411881;;;
98.13928265;;;
98.5450223;;;
98.1626382;;;
98.6687342;;;
98.47622681;;;
99.53157242;;;
98.53158627;;;
98.74490802;;;
101.1275471;;;
100.2941057;;;
101.1039183;;;
99.87816188;;;
99.68334394;;;
100.8468878;;;
100.5366872;;;
100.5049158;;;
98.60361455;;;
98.2229951;;;
96.81090294;;;
97.16791152;;;
97.31335371;;;
98.69810062;;;
98.83863111;;;
99.16410769;;;
